transformer,winding,terminal,connection,kv,kva,tap,r_pct,r_neut,x_neut,max_tap,min_tap,num_taps
m1_xfmr,1,sourcebus,delta,67,16800,1,0.002,-1,0,1.1,0.9,32
m1_xfmr,2,temp,wye,12.47,16800,1.01875,0.002,-1,0,1.05,0.95,32
xfmr_ae191606_a,1,0x008ddeb0.1,wye,7.2,25,1,0.0065646,-1,0,1.1,0.9,32
xfmr_ae191606_a,2,0x008ddeb0_s.1,wye,0.24,25,1,0.0065646,-1,0,1.1,0.9,32
xfmr_ae300103_a,1,0x008dcbc8.1,wye,7.2,75,1,0.00418,-1,0,1.1,0.9,32
xfmr_ae300103_a,2,0x008dcbc8_s.1,wye,0.24,75,1,0.00418,-1,0,1.1,0.9,32
xfmr_ae300104_a,1,0x008dd0f0.1,wye,7.2,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300104_a,2,0x008dd0f0_s.1,wye,0.24,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300105_c,1,0x008e7f28.3,wye,7.2,75,1,0.003536666666666665,-1,0,1.1,0.9,32
xfmr_ae300105_c,2,0x008e7f28_s.3,wye,0.24,75,1,0.003536666666666665,-1,0,1.1,0.9,32
xfmr_ae300106_c,1,0x0089eba0.3,wye,7.2,75,1,0.004008666666666665,-1,0,1.1,0.9,32
xfmr_ae300106_c,2,0x0089eba0_s.3,wye,0.24,75,1,0.004008666666666665,-1,0,1.1,0.9,32
xfmr_ae300107_c,1,0x0089f280.3,wye,7.2,75,1,0.004124,-1,0,1.1,0.9,32
xfmr_ae300107_c,2,0x0089f280_s.3,wye,0.24,75,1,0.004124,-1,0,1.1,0.9,32
xfmr_ae300108_b,1,0x008c7a18.2,wye,7.2,75,1,0.004195333333333335,-1,0,1.1,0.9,32
xfmr_ae300108_b,2,0x008c7a18_s.2,wye,0.24,75,1,0.004195333333333335,-1,0,1.1,0.9,32
xfmr_ae300109_b,1,0x008ca358.2,wye,7.2,50,1,0.00477,-1,0,1.1,0.9,32
xfmr_ae300109_b,2,0x008ca358_s.2,wye,0.24,50,1,0.00477,-1,0,1.1,0.9,32
xfmr_ae300110_a,1,0x008ca6c8.1,wye,7.2,75,1,0.004030000000000001,-1,0,1.1,0.9,32
xfmr_ae300110_a,2,0x008ca6c8_s.1,wye,0.24,75,1,0.004030000000000001,-1,0,1.1,0.9,32
xfmr_ae300111_a,1,0x008c9070.1,wye,7.2,75,1,0.0035,-1,0,1.1,0.9,32
xfmr_ae300111_a,2,0x008c9070_s.1,wye,0.24,75,1,0.0035,-1,0,1.1,0.9,32
xfmr_ae300114_c,1,0x008dee30.3,wye,7.2,25,1,0.006520000000000001,-1,0,1.1,0.9,32
xfmr_ae300114_c,2,0x008dee30_s.3,wye,0.24,25,1,0.006520000000000001,-1,0,1.1,0.9,32
xfmr_ae300115_c,1,0x008e8450.3,wye,7.2,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300115_c,2,0x008e8450_s.3,wye,0.24,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300116_c,1,0x008c4d68.3,wye,7.2,25,1,0.00628,-1,0,1.1,0.9,32
xfmr_ae300116_c,2,0x008c4d68_s.3,wye,0.24,25,1,0.00628,-1,0,1.1,0.9,32
xfmr_ae300117_c,1,0x008df6c8.3,wye,7.2,75,1,0.003066666666666665,-1,0,1.1,0.9,32
xfmr_ae300117_c,2,0x008df6c8_s.3,wye,0.24,75,1,0.003066666666666665,-1,0,1.1,0.9,32
xfmr_ae300118_c,1,0x008e8978.3,wye,7.2,75,1,0.004099999999999999,-1,0,1.1,0.9,32
xfmr_ae300118_c,2,0x008e8978_s.3,wye,0.24,75,1,0.004099999999999999,-1,0,1.1,0.9,32
xfmr_ae300119_c,1,0x008e87c0.3,wye,7.2,75,1,0.004226666666666665,-1,0,1.1,0.9,32
xfmr_ae300119_c,2,0x008e87c0_s.3,wye,0.24,75,1,0.004226666666666665,-1,0,1.1,0.9,32
xfmr_ae300120_c,1,0x008da5f0.3,wye,7.2,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300120_c,2,0x008da5f0_s.3,wye,0.24,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300121_c,1,0x008ea188.3,wye,7.2,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300121_c,2,0x008ea188_s.3,wye,0.24,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300122_a,1,0x008e9e18.1,wye,7.2,75,1,0.004042,-1,0,1.1,0.9,32
xfmr_ae300122_a,2,0x008e9e18_s.1,wye,0.24,75,1,0.004042,-1,0,1.1,0.9,32
xfmr_ae300123_a,1,0x008dbc48.1,wye,7.2,50,1,0.00481,-1,0,1.1,0.9,32
xfmr_ae300123_a,2,0x008dbc48_s.1,wye,0.24,50,1,0.00481,-1,0,1.1,0.9,32
xfmr_ae300124_b,1,0x008dfbf0.2,wye,7.2,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300124_b,2,0x008dfbf0_s.2,wye,0.24,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300125_b,1,0x008d0398.2,wye,7.2,50,1,0.004699999999999999,-1,0,1.1,0.9,32
xfmr_ae300125_b,2,0x008d0398_s.2,wye,0.24,50,1,0.004699999999999999,-1,0,1.1,0.9,32
xfmr_ae300134_a,1,0x008c5290.1,wye,7.2,50,1,0.00482,-1,0,1.1,0.9,32
xfmr_ae300134_a,2,0x008c5290_s.1,wye,0.24,50,1,0.00482,-1,0,1.1,0.9,32
xfmr_ae300135_a,1,0x008c4bb0.1,wye,7.2,75,1,0.003529333333333335,-1,0,1.1,0.9,32
xfmr_ae300135_a,2,0x008c4bb0_s.1,wye,0.24,75,1,0.003529333333333335,-1,0,1.1,0.9,32
xfmr_ae300136_a,1,0x008dbfb8.1,wye,7.2,50,1,0.004719999999999999,-1,0,1.1,0.9,32
xfmr_ae300136_a,2,0x008dbfb8_s.1,wye,0.24,50,1,0.004719999999999999,-1,0,1.1,0.9,32
xfmr_ae300142_b,1,0x0089dde0.2,wye,7.2,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300142_b,2,0x0089dde0_s.2,wye,0.24,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300143_b,1,0x0089d700.2,wye,7.2,25,1,0.005937433333333349,-1,0,1.1,0.9,32
xfmr_ae300143_b,2,0x0089d700_s.2,wye,0.24,25,1,0.005937433333333349,-1,0,1.1,0.9,32
xfmr_ae300144_b,1,0x0089e4c0.2,wye,7.2,25,1,0.00468,-1,0,1.1,0.9,32
xfmr_ae300144_b,2,0x0089e4c0_s.2,wye,0.24,25,1,0.00468,-1,0,1.1,0.9,32
xfmr_ae300145_b,1,0x008c5970.2,wye,7.2,75,1,0.004134666666666665,-1,0,1.1,0.9,32
xfmr_ae300145_b,2,0x008c5970_s.2,wye,0.24,75,1,0.004134666666666665,-1,0,1.1,0.9,32
xfmr_ae300146_b,1,0x0089d020.2,wye,7.2,50,1,0.004669,-1,0,1.1,0.9,32
xfmr_ae300146_b,2,0x0089d020_s.2,wye,0.24,50,1,0.004669,-1,0,1.1,0.9,32
xfmr_ae300147_b,1,0x008c2b70.2,wye,7.2,75,1,0.004186,-1,0,1.1,0.9,32
xfmr_ae300147_b,2,0x008c2b70_s.2,wye,0.24,75,1,0.004186,-1,0,1.1,0.9,32
xfmr_ae300148_b,1,0x008c2490.2,wye,7.2,75,1,0.003750666666666665,-1,0,1.1,0.9,32
xfmr_ae300148_b,2,0x008c2490_s.2,wye,0.24,75,1,0.003750666666666665,-1,0,1.1,0.9,32
xfmr_ae300149_b,1,0x0089bf70.2,wye,7.2,75,1,0.004133333333333335,-1,0,1.1,0.9,32
xfmr_ae300149_b,2,0x0089bf70_s.2,wye,0.24,75,1,0.004133333333333335,-1,0,1.1,0.9,32
xfmr_ae300150_b,1,0x008c2648.2,wye,7.2,50,1,0.00475,-1,0,1.1,0.9,32
xfmr_ae300150_b,2,0x008c2648_s.2,wye,0.24,50,1,0.00475,-1,0,1.1,0.9,32
xfmr_ae300151_b,1,0x008f3960.2,wye,7.2,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300151_b,2,0x008f3960_s.2,wye,0.24,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300152_b,1,0x008c7338.2,wye,7.2,25,1,0.00464,-1,0,1.1,0.9,32
xfmr_ae300152_b,2,0x008c7338_s.2,wye,0.24,25,1,0.00464,-1,0,1.1,0.9,32
xfmr_ae300153_c,1,0x0089c260.3,wye,7.2,75,1,0.003226666666666665,-1,0,1.1,0.9,32
xfmr_ae300153_c,2,0x0089c260_s.3,wye,0.24,75,1,0.003226666666666665,-1,0,1.1,0.9,32
xfmr_ae300154_c,1,0x008e49e0.3,wye,7.2,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300154_c,2,0x008e49e0_s.3,wye,0.24,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300155_c,1,0x0089c940.3,wye,7.2,50,1,0.004759999999999999,-1,0,1.1,0.9,32
xfmr_ae300155_c,2,0x0089c940_s.3,wye,0.24,50,1,0.004759999999999999,-1,0,1.1,0.9,32
xfmr_ae300199_a,1,0x008b8108.1,wye,7.2,50,1,0.005937433333333349,-1,0,1.1,0.9,32
xfmr_ae300199_a,2,0x008b8108_s.1,wye,0.24,50,1,0.005937433333333349,-1,0,1.1,0.9,32
xfmr_ae300199_c,1,0x008b8108.3,wye,7.2,50,1,0.005937433333333349,-1,0,1.1,0.9,32
xfmr_ae300199_c,2,0x008b8108_s.3,wye,0.24,50,1,0.005937433333333349,-1,0,1.1,0.9,32
xfmr_ae300202_a,1,0x008e44b8.1,wye,7.2,50,1,0.004753,-1,0,1.1,0.9,32
xfmr_ae300202_a,2,0x008e44b8_s.1,wye,0.24,50,1,0.004753,-1,0,1.1,0.9,32
xfmr_ae300203_a,1,0x008db8d8.1,wye,7.2,75,1,0.00416,-1,0,1.1,0.9,32
xfmr_ae300203_a,2,0x008db8d8_s.1,wye,0.24,75,1,0.00416,-1,0,1.1,0.9,32
xfmr_ae300204_a,1,0x008d9678.1,wye,7.2,50,1,0.004716000000000001,-1,0,1.1,0.9,32
xfmr_ae300204_a,2,0x008d9678_s.1,wye,0.24,50,1,0.004716000000000001,-1,0,1.1,0.9,32
xfmr_ae300206_a,1,0x008dd7d0.1,wye,7.2,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300206_a,2,0x008dd7d0_s.1,wye,0.24,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300207_a,1,0x008d2618.1,wye,7.2,75,1,0.003706666666666665,-1,0,1.1,0.9,32
xfmr_ae300207_a,2,0x008d2618_s.1,wye,0.24,75,1,0.003706666666666665,-1,0,1.1,0.9,32
xfmr_ae300208_a,1,0x008e74d8.1,wye,7.2,75,1,0.003713333333333335,-1,0,1.1,0.9,32
xfmr_ae300208_a,2,0x008e74d8_s.1,wye,0.24,75,1,0.003713333333333335,-1,0,1.1,0.9,32
xfmr_ae300209_a,1,0x008e5278.1,wye,7.2,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300209_a,2,0x008e5278_s.1,wye,0.24,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300216_b,1,0x008eda38.2,wye,7.2,75,1,0.004028666666666665,-1,0,1.1,0.9,32
xfmr_ae300216_b,2,0x008eda38_s.2,wye,0.24,75,1,0.004028666666666665,-1,0,1.1,0.9,32
xfmr_ae300217_b,1,0x008d7dc8.2,wye,7.2,75,1,0.004158,-1,0,1.1,0.9,32
xfmr_ae300217_b,2,0x008d7dc8_s.2,wye,0.24,75,1,0.004158,-1,0,1.1,0.9,32
xfmr_ae300225_c,1,0x008df1a0.3,wye,7.2,50,1,0.00473,-1,0,1.1,0.9,32
xfmr_ae300225_c,2,0x008df1a0_s.3,wye,0.24,50,1,0.00473,-1,0,1.1,0.9,32
xfmr_ae300226_a,1,0x008e8ce8.1,wye,7.2,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300226_a,2,0x008e8ce8_s.1,wye,0.24,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300227_a,1,0x008e6560.1,wye,7.2,50,1,0.004937,-1,0,1.1,0.9,32
xfmr_ae300227_a,2,0x008e6560_s.1,wye,0.24,50,1,0.004937,-1,0,1.1,0.9,32
xfmr_ae300229_a,1,0x008e7168.1,wye,7.2,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300229_a,2,0x008e7168_s.1,wye,0.24,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300234_a,1,0x008e93c8.1,wye,7.2,75,1,0.004126666666666665,-1,0,1.1,0.9,32
xfmr_ae300234_a,2,0x008e93c8_s.1,wye,0.24,75,1,0.004126666666666665,-1,0,1.1,0.9,32
xfmr_ae300235_b,1,0x008e7320.2,wye,7.2,50,1,0.004807000000000001,-1,0,1.1,0.9,32
xfmr_ae300235_b,2,0x008e7320_s.2,wye,0.24,50,1,0.004807000000000001,-1,0,1.1,0.9,32
xfmr_ae300236_b,1,0x008e7848.2,wye,7.2,50,1,0.0056235,-1,0,1.1,0.9,32
xfmr_ae300236_b,2,0x008e7848_s.2,wye,0.24,50,1,0.0056235,-1,0,1.1,0.9,32
xfmr_ae300237_b,1,0x008e4300.2,wye,7.2,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300237_b,2,0x008e4300_s.2,wye,0.24,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300238_b,1,0x008e2750.2,wye,7.2,50,1,0.004772,-1,0,1.1,0.9,32
xfmr_ae300238_b,2,0x008e2750_s.2,wye,0.24,50,1,0.004772,-1,0,1.1,0.9,32
xfmr_ae300239_b,1,0x008e2ac0.2,wye,7.2,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300239_b,2,0x008e2ac0_s.2,wye,0.24,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300240_c,1,0x008eb998.3,wye,7.2,50,1,0.004695,-1,0,1.1,0.9,32
xfmr_ae300240_c,2,0x008eb998_s.3,wye,0.24,50,1,0.004695,-1,0,1.1,0.9,32
xfmr_ae300241_c,1,0x008eb2b8.3,wye,7.2,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300241_c,2,0x008eb2b8_s.3,wye,0.24,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300242_c,1,0x008ed358.3,wye,7.2,50,1,0.003544,-1,0,1.1,0.9,32
xfmr_ae300242_c,2,0x008ed358_s.3,wye,0.24,50,1,0.003544,-1,0,1.1,0.9,32
xfmr_ae300243_c,1,0x008e2fe8.3,wye,7.2,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300243_c,2,0x008e2fe8_s.3,wye,0.24,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300244_c,1,0x008e3510.3,wye,7.2,50,1,0.003571,-1,0,1.1,0.9,32
xfmr_ae300244_c,2,0x008e3510_s.3,wye,0.24,50,1,0.003571,-1,0,1.1,0.9,32
xfmr_ae300245_c,1,0x008e68d0.3,wye,7.2,50,1,0.003804,-1,0,1.1,0.9,32
xfmr_ae300245_c,2,0x008e68d0_s.3,wye,0.24,50,1,0.003804,-1,0,1.1,0.9,32
xfmr_ae300253_b,1,0x008e9c60.2,wye,7.2,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300253_b,2,0x008e9c60_s.2,wye,0.24,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300253_c,1,0x008e9c60.3,wye,7.2,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300253_c,2,0x008e9c60_s.3,wye,0.24,50,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300255_b,1,0x008df510.2,wye,7.2,38,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300255_b,2,0x008df510_s.2,wye,0.24,38,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300255_c,1,0x008df510.3,wye,7.2,38,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300255_c,2,0x008df510_s.3,wye,0.24,38,1,0.004453402127659575,-1,0,1.1,0.9,32
xfmr_ae300257_a,1,0x008e7d70.1,wye,7.2,25,1,0.005937433333333349,-1,0,1.1,0.9,32
xfmr_ae300257_a,2,0x008e7d70_s.1,wye,0.12,25,1,0.005937433333333349,-1,0,1.1,0.9,32
xfmr_ae300257_b,1,0x008e7d70.2,wye,7.2,25,1,0.005937433333333349,-1,0,1.1,0.9,32
xfmr_ae300257_b,2,0x008e7d70_s.2,wye,0.12,25,1,0.005937433333333349,-1,0,1.1,0.9,32
xfmr_ae300257_c,1,0x008e7d70.3,wye,7.2,25,1,0.005937433333333349,-1,0,1.1,0.9,32
xfmr_ae300257_c,2,0x008e7d70_s.3,wye,0.12,25,1,0.005937433333333349,-1,0,1.1,0.9,32
xfmr_ae300701_a,1,0x008ce818.1,wye,7.2,75,1,0.00374,-1,0,1.1,0.9,32
xfmr_ae300701_a,2,0x008ce818_s.1,wye,0.24,75,1,0.00374,-1,0,1.1,0.9,32
xfmr_ae300702_b,1,0x008d3ac0.2,wye,7.2,75,1,0.003542666666666665,-1,0,1.1,0.9,32
xfmr_ae300702_b,2,0x008d3ac0_s.2,wye,0.24,75,1,0.003542666666666665,-1,0,1.1,0.9,32
xfmr_ae300703_b,1,0x008cd8a0.2,wye,7.2,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300703_b,2,0x008cd8a0_s.2,wye,0.24,75,1,0.00388882291666667,-1,0,1.1,0.9,32
xfmr_ae300704_b,1,0x008de598.2,wye,7.2,75,1,0.004139333333333335,-1,0,1.1,0.9,32
xfmr_ae300704_b,2,0x008de598_s.2,wye,0.24,75,1,0.004139333333333335,-1,0,1.1,0.9,32
xfmr_ae300705_b,1,0x008d3598.2,wye,7.2,75,1,0.003853333333333335,-1,0,1.1,0.9,32
xfmr_ae300705_b,2,0x008d3598_s.2,wye,0.24,75,1,0.003853333333333335,-1,0,1.1,0.9,32
